Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      186    0.001    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:150(__init__)
      842    0.001    0.000    0.015    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\art3d.py:810(<genexpr>)
     1773    0.001    0.000    0.004    0.000 <__array_function__ internals>:177(concatenate)
      468    0.001    0.000    0.005    0.000 C:\Program Files\Python310\lib\copy.py:259(_reconstruct)
  1893/65    0.001    0.000    0.065    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\cache.py:67(wrapper)
        3    0.001    0.000    0.001    0.000 {built-in method drawImage}
      459    0.001    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:384(<listcomp>)
     1934    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     1394    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\random.py:380(shuffle)
     2363    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFE655E3920}
      917    0.001    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:202(_update_values)
     2224    0.001    0.000    0.001    0.000 {built-in method numpy.array}
   240/60    0.001    0.000    0.009    0.000 C:\Program Files\Python310\lib\copy.py:227(_deepcopy_dict)
      400    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1229(score_stretch)
      707    0.001    0.000    0.002    0.000 C:\Program Files\Python310\lib\copy.py:66(copy)
     1871    0.001    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:1361(_to_unmasked_float_array)
  593/543    0.001    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\containers.py:52(__new__)
  157/156    0.001    0.000    0.032    0.000 {built-in method builtins.sorted}
      459    0.001    0.000    0.005    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:353(list)
     2546    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\numbers.py:2238(__eq__)
      400    0.001    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1171(score_family)
      459    0.001    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\utilities\iterables.py:1930(has_dups)
2979/2749    0.001    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\containers.py:54(<genexpr>)
      706    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:2028(_setattr_cm)
      209    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:190(__init__)
     4952    0.001    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:319(__missing__)
     5729    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x00000270CF8F4C10}
     2413    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
        2    0.001    0.000    0.001    0.000 {built-in method raise_}
      459    0.001    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:432(__init__)
     5378    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
     4011    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\numbers.py:2284(__hash__)
     7003    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      210    0.001    0.000    0.012    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\markers.py:327(_set_marker)
     1742    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\random.py:239(_randbelow_with_getrandbits)
     7138    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       42    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2331    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
        2    0.001    0.000    0.013    0.006 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:1179(set_verts)
       79    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\inspect.py:744(cleandoc)
6019/4473    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.001    0.001    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:78(__init__)
       26    0.001    0.000    0.022    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:58(__init__)
      640    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\copy.py:243(_keep_alive)
     4114    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\assumptions.py:469(as_property)
     5080    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:816(get_animated)
        8    0.001    0.000    0.001    0.000 {built-in method addAction}
     1647    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\basic.py:126(__new__)
      465    0.001    0.000    0.008    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:901(__new__)
      367    0.001    0.000    0.012    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:1622(__call__)
        3    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\socket.py:220(__init__)
  343/117    0.001    0.000    0.005    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\sorting.py:203(ordered)
        3    0.001    0.000    0.063    0.021 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axis3d.py:339(draw)
      380    0.001    0.000    0.001    0.000 C:\Program Files\Python310\lib\contextlib.py:102(__init__)
      915    0.001    0.000    0.007    0.000 <__array_function__ internals>:177(column_stack)
     1173    0.001    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:387(pchanged)
      927    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:1027(_af_new)
      240    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:194(set_children)
        5    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      806    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:110(__init__)
       46    0.001    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:656(recache)
       17    0.001    0.000    0.005    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:298(_get_layout)
       83    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     2751    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\_api\__init__.py:154(<genexpr>)
      841    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(average)
     1427    0.001    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\sympify.py:503(_sympify)
        3    0.001    0.000    0.001    0.000 {function socket.close at 0x00000270AF411BD0}
     5101    0.001    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\basic.py:750(args)
       15    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\enum.py:180(__new__)
      262    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:1799(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\art3d.py:794(<listcomp>)
        3    0.000    0.000    0.143    0.048 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qtagg.py:19(paintEvent)
      561    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1769(__init__)
       43    0.000    0.000    0.010    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:673(draw)
     5638    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       61    0.000    0.000    0.007    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:131(__init__)
      191    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:720(__hash__)
     3226    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      535    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      360    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\markers.py:277(_recache)
      100    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1122(update_from)
      400    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1247(score_weight)
        6    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axis3d.py:242(_get_coord_info)
      714    0.000    0.000    0.003    0.000 C:\Program Files\Python310\lib\enum.py:359(__call__)
     1355    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      256    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1886(__init__)
