Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1297    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:1607(__iter__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       24    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       76    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\assumptions.py:449(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\function_base.py:1320(diff)
       18    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\_methods.py:108(_clip_dep_invoke_with_casting)
       64    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:1179(set_rotation)
        4    0.000    0.000    0.006    0.002 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:344(draw)
       55    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1832(frozen)
        1    0.000    0.000    0.102    0.102 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:408(draw)
      238    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:270(axes)
       90    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\basic.py:328(<listcomp>)
       84    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      177    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        9    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:46(__init__)
     34/1    0.000    0.000    1.617    1.617 {built-in method builtins.exec}
       18    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\pathlib.py:569(_parse_args)
       81    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1054(set_color)
       60    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:136(__setstate__)
        1    0.000    0.000    0.000    0.000 {built-in method setText}
       98    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1335(__add__)
       86    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:2633(__init__)
     32/6    0.000    0.000    0.100    0.017 <frozen importlib._bootstrap_external>:877(exec_module)
       18    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2586(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\_methods.py:127(_clip)
       25    0.000    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:109(draw_path)
      888    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:256(should_simplify)
    88/61    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\ast.py:199(_construct)
       25    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1109(get_points)
       40    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:809(from_extents)
  445/440    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       26    0.000    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:449(_apply_tickdir)
       32    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.006    0.006 C:\Program Files\Python310\lib\socket.py:1(<module>)
      253    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1926(get_matrix)
       90    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        3    0.000    0.000    0.036    0.012 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1527(get_major_ticks)
      403    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\logging\__init__.py:1724(isEnabledFor)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       88    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(ones_like)
      567    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:1177(size)
      627    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:782(get_size)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       74    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:831(set_variant)
      100    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\utilities\iterables.py:1977(uniq)
       61    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:992(set_linespacing)
       20    0.000    0.000    0.012    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1497(_copy_tick_props)
       52    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\pathlib.py:147(splitroot)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\numeric.py:1486(cross)
      242    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:209(<lambda>)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:2279(_signature_from_function)
      621    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:737(get_family)
       75    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\inspect.py:725(getdoc)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:759(_set_order_of_magnitude)
       92    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:697(_from_any)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.002    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:1304(__init__)
      349    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       59    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\figure.py:2312(__init__)
      888    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:225(codes)
      123    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:44(_is_private)
      888    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:244(simplify_threshold)
       20    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2756(_revalidate)
       32    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       13    0.000    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:221(get_text_width_height_descent)
       26    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:208(_apply_tickdir)
        1    0.000    0.000    0.005    0.005 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\ast.py:1(<module>)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:2015(_validate_steps)
       18    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1766(_set_formatter)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       27    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\proj3d.py:179(proj_trans_points)
       46    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:895(set_clip_path)
        3    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1418(get_minorticklocs)
      150    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:1227(set_text)
       34    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1196(_cm_set)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:474(transformed)
        3    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.point_in_path}
  129/119    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2410(<lambda>)
       34    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:1245(_preprocess_math)
      130    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:347(_set_artist_props)
       81    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1342(set_dash_joinstyle)
       60    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\copy.py:237(_deepcopy_method)
       63    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\core.py:69(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\numeric.py:2359(within_tol)
      591    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:753(get_style)
      400    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1265(score_size)
      400    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1201(score_style)
      145    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\containers.py:70(__iter__)
       21    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py:558(smallest_normal)
       13    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\basic.py:1920(_exec_constructor_postprocessors)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python310\lib\socket.py:615(socketpair)
      251    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
      102    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:241(convert_xunits)
      340    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\facts.py:533(<genexpr>)
       26    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:925(get_xaxis_text2_transform)
      512    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
    90/89    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2602(get_matrix)
      591    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:759(get_variant)
      400    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1095(sticky_edges)
    39/38    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
       60    0.000    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:281(__deepcopy__)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.009    0.009 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:2777(__init__)
      841    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\art3d.py:813(<lambda>)
        1    0.000    0.000    0.007    0.007 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:1219(__clear)
      224    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       38    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:914(get_siblings)
       20    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2741(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1565(pprint_setters)
       12    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:770(_set_edgecolor)
      838    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\qt_compat.py:155(_enum)
       10    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:373(size)
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\multipledispatch\conflict.py:62(<listcomp>)
       26    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\markers.py:811(_set_tickdown)
      487    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\logic\boolalg.py:420(__bool__)
       13    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1777(__eq__)
       82    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       63    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1080(set_zorder)
       77    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:844(set_weight)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:838(get_proj)
      591    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:765(get_weight)
       31    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:851(_eval_is_extended_positive_negative)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\function_base.py:23(linspace)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\spines.py:488(__getattr__)
       23    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2907(_interval_contains_close)
        5    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\perm_groups.py:124(__new__)
      208    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\socket.py:78(<lambda>)
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:1552(_shade_colors)
       15    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:379(bounds)
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\shape_base.py:223(vstack)
       26    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\numeric.py:1348(normalize_axis_tuple)
      253    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\multipledispatch\conflict.py:19(ambiguous)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(broadcast_arrays)
       38    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:3152(ndim)
       27    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py:476(__new__)
        9    0.000    0.000    0.007    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:548(set_useMathText)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:356(_apply_params)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:3046(_bind)
       63    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1522(aliased_name)
      400    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1218(score_variant)
        1    0.000    0.000    0.022    0.022 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:56(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       18    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:732(_convert_units)
        3    0.000    0.000    0.002    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axis3d.py:158(_init3d)
     18/9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\units.py:181(get_converter)
     14/7    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2372(frozen)
       81    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1257(set_markersize)
       81    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1358(set_solid_joinstyle)
       80    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        9    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\abc.py:7(abstractmethod)
       18    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:553(_get_data_path)
      202    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\prufer.py:11(Prufer)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      461    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     11/8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:2374(_signature_from_callable)
       30    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:43(get_hinting_flag)
        4    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\power.py:282(__new__)
       81    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1042(set_antialiased)
      123    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:33(_is_sunder)
       11    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:743(set_clip_path)
       88    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1782(transform)
      221    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\cycler.py:239(__iter__)
   185/85    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\abc.py:121(__subclasscheck__)
       26    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\weakref.py:47(__new__)
      211    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\socket.py:93(<lambda>)
       33    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2006(rotate_deg)
       17    0.000    0.000    0.003    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\power.py:1428(_eval_is_algebraic)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(reshape)
       16    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:2935(_update_from)
       61    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:1283(set_usetex)
      457    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\power.py:387(base)
       26    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:119(_weak_or_strong_ref)
       14    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2462(__init__)
        3    0.000    0.000    0.008    0.003 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:648(__init__)
       92    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:462(size)
        1    0.000    0.000    0.054    0.054 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\tensor\tensor.py:1(<module>)
       28    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1869(inverted)
       26    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\pathlib.py:621(__str__)
      123    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:22(_is_dunder)
        4    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:410(get_renderer)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       64    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:421(get_transform)
       81    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1101(set_gapcolor)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       45    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\enum.py:579(_get_mixins_)
       48    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\stride_tricks.py:538(<listcomp>)
       81    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1242(set_markeredgewidth)
      144    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\stride_tricks.py:542(<genexpr>)
        5    0.000    0.000    0.022    0.004 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\polyhedron.py:34(__new__)
       74    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:870(set_stretch)
       12    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\stride_tricks.py:38(as_strided)
       16    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\mul.py:467(_gather)
        1    0.000    0.000    0.003    0.003 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:1(<module>)
       37    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:3345(mean)
       21    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\power.py:594(_eval_is_extended_negative)
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       58    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:1060(set_fontsize)
       29    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:970(set_alpha)
        1    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        3    0.000    0.000    0.055    0.018 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\add.py:184(flatten)
       31    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:2432(all)
        1    0.000    0.000    0.000    0.000 {built-in method activateWindow}
       45    0.000    0.000    0.002    0.000 {method 'min' of 'numpy.ndarray' objects}
      260    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:929(get_agg_filter)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       40    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:343(intervalx)
      104    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:1168(set_y)
        1    0.000    0.000    0.000    0.000 {built-in method addWidget}
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:2036(set_params)
        4    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:77(__init__)
